Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2025 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2025.2 (lin64) Build 6299465 Fri Nov 14 12:34:56 MST 2025
| Date         : Wed Sep 23 15:56:03 2026
| Host         : johan2-Yoga-7-15ITL5 running 64-bit Ubuntu 22.04.5 LTS
| Command      : report_utilization -hierarchical
| Design       : zynq_gnss_acquisition_bd_wrapper
| Device       : xc7z020clg484-1
| Speed File   : -1
| Design State : Routed
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                              Instance                             |                                                          Module                                                          | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
+-------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
| zynq_gnss_acquisition_bd_wrapper                                  |                                                                                                                    (top) |      21104 |      18188 |     640 | 2276 | 36057 |     10 |     58 |        197 |
|   zynq_gnss_acquisition_bd_i                                      |                                                                                                 zynq_gnss_acquisition_bd |      21104 |      18188 |     640 | 2276 | 36057 |     10 |     58 |        197 |
|     smartconnect_0                                                |                                                                                zynq_gnss_acquisition_bd_smartconnect_0_1 |       3270 |       2607 |     640 |   23 |  4393 |      0 |      0 |          0 |
|       inst                                                        |                                                                        zynq_gnss_acquisition_bd_smartconnect_0_1_bd_acd3 |       3270 |       2607 |     640 |   23 |  4393 |      0 |      0 |          0 |
|         m00_exit_pipeline                                         |                                                  zynq_gnss_acquisition_bd_smartconnect_0_1_m00_exit_pipeline_imp_19LIBKB |        616 |        600 |       0 |   16 |   947 |      0 |      0 |          0 |
|           m00_exit                                                |                                                                 zynq_gnss_acquisition_bd_smartconnect_0_1_bd_acd3_m00e_0 |        616 |        600 |       0 |   16 |   947 |      0 |      0 |          0 |
|             inst                                                  |                                                            zynq_gnss_acquisition_bd_smartconnect_0_1_sc_exit_v1_0_18_top |        616 |        600 |       0 |   16 |   947 |      0 |      0 |          0 |
|               w_reg                                               |                                               zynq_gnss_acquisition_bd_smartconnect_0_1_sc_util_v1_0_4_axi_reg_stall_189 |         42 |         42 |       0 |    0 |   150 |      0 |      0 |          0 |
|               ar_reg                                              |                                               zynq_gnss_acquisition_bd_smartconnect_0_1_sc_util_v1_0_4_axi_reg_stall_185 |         32 |         32 |       0 |    0 |   102 |      0 |      0 |          0 |
|               aw_reg                                              |                                               zynq_gnss_acquisition_bd_smartconnect_0_1_sc_util_v1_0_4_axi_reg_stall_186 |         32 |         32 |       0 |    0 |   102 |      0 |      0 |          0 |
|               r_reg                                               |                                               zynq_gnss_acquisition_bd_smartconnect_0_1_sc_util_v1_0_4_axi_reg_stall_188 |         39 |         39 |       0 |    0 |   138 |      0 |      0 |          0 |
|               splitter_inst                                       |                                                       zynq_gnss_acquisition_bd_smartconnect_0_1_sc_exit_v1_0_18_splitter |        417 |        410 |       0 |    7 |   421 |      0 |      0 |          0 |
|                 gen_axi3.splitter_inst                            |                                                      zynq_gnss_acquisition_bd_smartconnect_0_1_sc_exit_v1_0_18_axi3_conv |        417 |        410 |       0 |    7 |   420 |      0 |      0 |          0 |
|                   (gen_axi3.splitter_inst)                        |                                                      zynq_gnss_acquisition_bd_smartconnect_0_1_sc_exit_v1_0_18_axi3_conv |        100 |        100 |       0 |    0 |   133 |      0 |      0 |          0 |
|                   ar_cmd_reg                                      |                                               zynq_gnss_acquisition_bd_smartconnect_0_1_sc_util_v1_0_4_axi_reg_stall_190 |        131 |        131 |       0 |    0 |   130 |      0 |      0 |          0 |
|                   aw_cmd_reg                                      |                                               zynq_gnss_acquisition_bd_smartconnect_0_1_sc_util_v1_0_4_axi_reg_stall_191 |        126 |        126 |       0 |    0 |   126 |      0 |      0 |          0 |
|         m00_nodes                                                 |                                                          zynq_gnss_acquisition_bd_smartconnect_0_1_m00_nodes_imp_1VT4LYF |        619 |        408 |     210 |    1 |   593 |      0 |      0 |          0 |
|           m00_ar_node                                             |                                                               zynq_gnss_acquisition_bd_smartconnect_0_1_bd_acd3_m00arn_0 |        138 |         82 |      56 |    0 |   132 |      0 |      0 |          0 |
|             inst                                                  |                                                            zynq_gnss_acquisition_bd_smartconnect_0_1_sc_node_v1_0_19_top |        138 |         82 |      56 |    0 |   132 |      0 |      0 |          0 |
